name,price,link
"Acer Aspire 3 A315-59-5031 Core i5 12th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/acer-aspire-3-a315-59-5031-i5-12th-gen-laptop
"Acer Aspire 3 A315-59-57VA Core i5 12th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/acer-aspire-3-a315-59-57va-i5-12th-gen-laptop
"Acer Aspire 3 A315-59-50J9 Core i5 12th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/acer-aspire-3-a315-59-50j9-i5-12th-gen-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 15.6"" FHD IPS Display Laptop","74,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-11th-gen-i5-laptop
"Walton Tamarind MX511G Core i5 11th Gen 14"" FHD Laptop","74,500",https://www.startech.com.bd/walton-tamarind-mx511g-core-i5-11th-gen-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 15.6"" FHD Laptop with 3 Years Warranty","74,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-11th-gen-core-i5-fhd-laptop
"Walton Passion BX710U Core i7 10th Gen 15.6"" FHD Laptop","74,550",https://www.startech.com.bd/walton-passion-bx710u-core-i7-10th-gen-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 14"" FHD Laptop","75,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-12th-gen-fhd-laptop
"HUAWEI MateBook B3-520 Core i5 11th Gen 15.6"" FHD Laptop","76,000",https://www.startech.com.bd/huawei-matebook-b3-520-core-i5-11th-gen-laptop
"Acer Aspire 3 A315-59 Core i5 12th Gen 15.6"" FHD Laptop","76,500",https://www.startech.com.bd/acer-aspire-3-a315-59-core-i5-12th-gen-laptop
"Lenovo IP Slim 3 15ABR8 Ryzen 5 15.6"" FHD Laptop","77,000",https://www.startech.com.bd/lenovo-ideapad-slim-3-15abr8-ryzen-5-7530u-fhd-laptop
"DOEL T10 Core i7 10th Gen 14"" FHD Laptop","77,500",https://www.startech.com.bd/doel-t10-core-i7-10th-gen-laptop
"Lenovo IdeaPad Slim 3i 15ITL Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop with 03 Years Warranty","78,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15itl-i5-11th-gen-fhd-laptop
"Acer Extensa 14 EX214-53-543W Core i5 12th Gen 14"" FHD Laptop","78,500",https://www.startech.com.bd/acer-extensa-14-ex214-53-543w-core-i5-12th-gen-laptop
"HP 15s-fq5192TU Core i5 12th Gen 15.6"" HD Laptop","78,500",https://www.startech.com.bd/hp-15s-fq5192tu-core-i5-12th-gen-laptop
"Huawei MateBook D15 Core i5 11th Gen 15.6"" FHD Laptop","76,000",https://www.startech.com.bd/huawei-matebook-d-15-core-i5-11th-gen-laptop
"Huawei MateBook B3-420 Core i5 11th Gen 14"" FHD Laptop","76,000",https://www.startech.com.bd/huawei-matebook-b3-420-core-i5-11th-gen-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop","79,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i5-fhd-laptop
"Lenovo IdeaPad 3 Ryzen 7 5700U 15.6"" FHD Laptop with Windows 11","79,900",https://www.startech.com.bd/lenovo-ideapad-3-ryzen-7-laptop
"ASUS Vivobook 15 M1502IA-EJ390W Ryzen 7 4800H 15.6"" FHD Laptop","81,500",https://www.startech.com.bd/asus-vivobook-15-m1502ia-ej390w-ryzen-7-laptop
